school,band_name,city,state,event,year,source_url
Marching Pride of Lawrence Township,,Indianapolis,IN,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
LAUSD All District High School,Honor Band,Los Angeles,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Martin Luther King, Jr. High School","MLK ""Kings of Halftime,""",Lithonia,GA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Niceville High School,,Niceville High School,FL,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Ooltewah High School,,Ooltewah High School,TN,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pasadena City College Tournament of Roses Honor Band and Herald Trumpets,,Pasadena,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Penn State University Marching Blue Band,,State College,PA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pulaski High School,,Red Raider Marching Band,WI,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Santa Clara Vanguard Drum and Bugle Corps,,Santa Clara,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"United States Marine Corps, West Coast Composite Band",,San Diego,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
United States Air Force Band,,Washington,DC,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
University of Southern California Trojan Marching Band,,Los Angeles,CA,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Westlake High School,,Austin,TX,Rose,2017,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Air Academy,Air Academy High School Marching Band,USAF Academy,CO,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Albertville High School,"Albertville High School ""Aggie"" Marching Band",Albertville,AL,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Australia's Marching Koalas, Dangar, New South Wales, Australia",,,,Rose,2018,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
