school,band_name,city,state,event,year,source_url,_source,exclusion_reason
Bands of America Honor Band,,Indianapolis,IN,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
The Band Directors Marching Band,,Pickerington,OH,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
"Delfines Marching Band, Xalapa, Veracruz, Mexico",,,,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
Mino Jiyu Gakuen Golden Bears Green Band,"Toyonaka, Osaka, Japan",,,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,non-US group
Morgan State University Magnificent Marching Machine,,Baltimore,MD,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Pasadena City College Herald Trumpets,,Pasadena,CA,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,all-star/honor/all-district band
"The Salvation Army Tournament of Roses Band, Maryland and Virginia",,,,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,community band
United States Marine Corps West Coast Composite Band,,Camp Pendleton,CA,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,military band
Indiana University Marching Hundred,,Bloomington,IN,Rose,2026,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,wikipedia_rose,college/university
