school,band_name,city,state,event,year,source_url
Westbury High School,,Houston,TX,H-E-B Houston,2025,https://www.houstontx.gov/thanksgivingparade/2025performers.html
Klein Forest Golden Eagle Marching Band,Klein Forest Golden Eagle Marching Band,Houston,TX,H-E-B Houston,2025,https://www.houstontx.gov/thanksgivingparade/2025performers.html
Stephen F. Austin Sonic Boom Marching Band,Stephen F. Austin Sonic Boom Marching Band,Houston,TX,H-E-B Houston,2025,https://www.houstontx.gov/thanksgivingparade/2025performers.html
Milby High School,Marching Thunder,Houston,TX,H-E-B Houston,2025,https://www.houstontx.gov/thanksgivingparade/2025performers.html
Stratford High School,Spartan Band,Houston,TX,H-E-B Houston,2025,https://www.houstontx.gov/thanksgivingparade/2025performers.html
Waltrip High School,Ram Band,Houston,TX,H-E-B Houston,2025,https://www.houstontx.gov/thanksgivingparade/2025performers.html
