school,band_name,city,state,event,year,source_url
Bedford North Lawrence Marching Stars,,Bedford,IN,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Bloomington North High School,Bloomington North High School Band,Bloomington,IN,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Braden River High School,Braden River High School Band,Bradenton,FL,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Brien McMahon High School,Brien McMahon High School Band,Norwalk,CT,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Crestview High School,Crestview High School Band,Crestview,FL,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
University of Delaware Band,,Newark,DE,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Defiance High School,Defiance High School Band,,DE,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Dublin Jerome High School,Dublin Jerome High School Band,Dublin,OH,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Dublin Scioto Irish Band,,Dublin,OH,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Dublin Coffman Band,,Dublin,OH,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Lafayette Jefferson High School,Lafayette Jefferson High School Band,Lafayette,IN,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Lowndes High Marching Band,,Valdosta,GA,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Lenape Regional High School,Lenape Regional High School Band,Burlington County,NJ,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Muskego High School,Muskego High School Marching Band,Muskego,WI,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Olentangy Orange High School,Olentangy Orange High School Band,Lewis Center,OH,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Pearl City High School,Pearl City High School Marching Band,Pearl City,HI,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Pennsbury High School,Pennsbury High School Band,Fairless Hills,PA,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Tournament of Bands All Star Marching Band,,,,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Scotland County High School,Scotland County High School Band,Laurinburg,NC,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Wyoming All-State Band,,,WY,Philadelphia,2018,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
A.I. DuPont High School,A.I. DuPont High School Tiger Marching Band,Wilmington,DE,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Bainbridge High School,Bainbridge High School Marching Band,Bainbridge,GA,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Ben Davis Marching Giants,,,,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Brunswick Marching Pirates,,Brunswick,GA,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Colquitt County High School,Colquitt County High School Band,Norman Park,GA,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
East Hills Middle School,East Hills Middle School Band,Bethlehem,PA,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Freedom Patriot Band,,Bethlehem,PA,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Gulf Coast High School,Gulf Coast High School Marching Sharks,Naples,FL,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Guntersville High School,Guntersville High School Crimson Guard,Guntersville,AL,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Jackson High School,Jackson High School Marching Band,,OH,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Jacket Pride Marching Band,,Denham Springs,LA,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Kingsway Regional Marching Band,,Gloucester County,NJ,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Mary G. Montgomery High School,Mary G. Montgomery High School Band,Semmes,AL,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Morgantown High School,Morgantown High School Marching Band,Morgantown,WV,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
Pennsbury High School,Pennsbury High School Band,Fairless Hills,PA,Philadelphia,2019,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade
